# BEGIN METADATA
beam=pp
process=top-mc
energy=7000
params=-
specific=-
generator=pythia8
version=8.160
tune=default
nevts=1000
seed=1
crosssection=153.195610272447
rivet=1.7.0
revision=%revision%
observable=dphittbar
cuts=mc
# END METADATA

# BEGIN HISTOGRAM /MC_FBA_TTBAR/dphittbar.all
AidaPath=/MC_FBA_TTBAR/dphittbar.all
0	0.0392699	0.0785398	3.90109	2.75849	2.75849
0.0785398	0.11781	0.15708	1.95055	1.95055	1.95055
0.15708	0.19635	0.235619	7.80219	3.90109	3.90109
0.235619	0.274889	0.314159	3.90109	2.75849	2.75849
0.314159	0.353429	0.392699	5.85164	3.37845	3.37845
0.392699	0.431969	0.471239	9.75274	4.36156	4.36156
0.471239	0.510509	0.549779	7.80219	3.90109	3.90109
0.549779	0.589049	0.628319	3.90109	2.75849	2.75849
0.628319	0.667588	0.706858	13.6538	5.16066	5.16066
0.706858	0.746128	0.785398	1.95055	1.95055	1.95055
0.785398	0.824668	0.863938	7.80219	3.90109	3.90109
0.863938	0.903208	0.942478	11.7033	4.77785	4.77785
0.942478	0.981748	1.02102	3.90109	2.75849	2.75849
1.02102	1.06029	1.09956	7.80219	3.90109	3.90109
1.09956	1.13883	1.1781	5.85164	3.37845	3.37845
1.1781	1.21737	1.25664	9.75274	4.36156	4.36156
1.25664	1.29591	1.33518	9.75274	4.36156	4.36156
1.33518	1.37445	1.41372	9.75274	4.36156	4.36156
1.41372	1.45299	1.49226	5.85164	3.37845	3.37845
1.49226	1.53153	1.5708	9.75274	4.36156	4.36156
1.5708	1.61007	1.64934	13.6538	5.16066	5.16066
1.64934	1.68861	1.72788	25.3571	7.0328	7.0328
1.72788	1.76715	1.80642	17.5549	5.85164	5.85164
1.80642	1.84569	1.88496	19.5055	6.16817	6.16817
1.88496	1.92423	1.9635	13.6538	5.16066	5.16066
1.9635	2.00277	2.04204	29.2582	7.55444	7.55444
2.04204	2.08131	2.12058	23.4066	6.75689	6.75689
2.12058	2.15984	2.19911	25.3571	7.0328	7.0328
2.19911	2.23838	2.27765	39.0109	8.72311	8.72311
2.27765	2.31692	2.35619	17.5549	5.85164	5.85164
2.35619	2.39546	2.43473	44.8626	9.3545	9.3545
2.43473	2.474	2.51327	23.4066	6.75689	6.75689
2.51327	2.55254	2.59181	33.1593	8.04231	8.04231
2.59181	2.63108	2.67035	52.6648	10.1353	10.1353
2.67035	2.70962	2.74889	42.912	9.14888	9.14888
2.74889	2.78816	2.82743	60.467	10.8602	10.8602
2.82743	2.8667	2.90597	103.379	14.2002	14.2002
2.90597	2.94524	2.98451	122.884	15.482	15.482
2.98451	3.02378	3.06305	154.093	17.3368	17.3368
3.06305	3.10232	3.14159	302.335	24.2841	24.2841
# END HISTOGRAM

# BEGIN HISTOSTATS /MC_FBA_TTBAR/dphittbar.all
AidaPath=/MC_FBA_TTBAR/dphittbar.all
0	0.0392699081698724	0.0785398163397448	2	0.306391220544893	0.0469377900134947	0.00827049963448458	0.000231572213110689
0.0785398163397448	0.117809724509617	0.15707963267949	1	0.153195610272447	0.0234688950067474	0.0185563848348795	0.00224771073745368
0.15707963267949	0.196349540849362	0.235619449019234	4	0.612782441089787	0.0938755800269895	0.11932143844507	0.0234965263948493
0.235619449019234	0.274889357189107	0.314159265358979	2	0.306391220544893	0.0469377900134947	0.0861175829445568	0.0244665008444891
0.314159265358979	0.353429173528852	0.392699081698724	3	0.45958683081734	0.0704066850202421	0.165595444671508	0.0601134430116475
0.392699081698724	0.431968989868597	0.471238898038469	5	0.765978051362233	0.117344475033737	0.335947482717889	0.147722880786086
0.471238898038469	0.510508806208341	0.549778714378214	4	0.612782441089787	0.0938755800269895	0.311088031470408	0.158385354560779
0.549778714378214	0.589048622548086	0.628318530717959	2	0.306391220544893	0.0469377900134947	0.183624860973478	0.11007919187946
0.628318530717959	0.667588438887831	0.706858347057703	7	1.07236927190713	0.164282265047232	0.717073297613464	0.479851395371925
0.706858347057703	0.746128255227576	0.785398163397448	1	0.153195610272447	0.0234688950067474	0.111628283063153	0.0813396255771732
0.785398163397448	0.824668071567321	0.863937979737193	4	0.612782441089787	0.0938755800269895	0.511410567453271	0.427106431185797
0.863937979737193	0.903207887907066	0.942477796076938	6	0.91917366163468	0.140813370040484	0.833691026057928	0.756446162515771
0.942477796076938	0.98174770424681	1.02101761241668	2	0.306391220544893	0.0469377900134947	0.301768005596633	0.29742505724512
1.02101761241668	1.06028752058656	1.09955742875643	4	0.612782441089787	0.0938755800269895	0.657522747515625	0.705934691012293
1.09955742875643	1.1388273369263	1.17809724509617	3	0.45958683081734	0.0704066850202421	0.512724824632824	0.572077794780046
1.17809724509617	1.21736715326604	1.25663706143592	5	0.765978051362233	0.117344475033737	0.930463117192081	1.13057111371794
1.25663706143592	1.29590696960579	1.33517687777566	5	0.765978051362233	0.117344475033737	0.985996870514451	1.26931197950365
1.33517687777566	1.37444678594553	1.41371669411541	5	0.765978051362233	0.117344475033737	1.04390580080064	1.42307560367494
1.41371669411541	1.45298660228528	1.49225651045515	3	0.45958683081734	0.0704066850202421	0.665215234086933	0.962973519190746
1.49225651045515	1.53152641862502	1.5707963267949	5	0.765978051362233	0.117344475033737	1.18196232489431	1.82414172218229
1.5707963267949	1.61006623496477	1.64933614313464	7	1.07236927190713	0.164282265047232	1.7305005527991	2.79297144657134
1.64933614313464	1.68860605130451	1.72787595947439	13	1.99154293354181	0.305095635087716	3.3823249517216	5.74482013473323
1.72787595947439	1.76714586764426	1.80641577581413	9	1.37876049245202	0.211220055060726	2.42813467770831	4.2766767041293
1.80641577581413	1.845685683984	1.88495559215388	10	1.53195610272447	0.234688950067474	2.83026868749602	5.22963979531543
