# BEGIN HISTOGRAM /MC_FBA_TTBAR/dphittbar.all
AidaPath=/MC_FBA_TTBAR/dphittbar.all
0	0.0392699	0.0785398	3.87951	0.0439804	0.0439804
0.0785398	0.11781	0.15708	4.29834	0.0462937	0.0462937
0.15708	0.19635	0.235619	4.92454	0.049551	0.049551
0.235619	0.274889	0.314159	5.47749	0.0522591	0.0522591
0.314159	0.353429	0.392699	5.97209	0.0545675	0.0545675
0.392699	0.431969	0.471239	6.52699	0.0570462	0.0570462
0.471239	0.510509	0.549779	6.99967	0.0590758	0.0590758
0.549779	0.589049	0.628319	7.4913	0.0611153	0.0611153
0.628319	0.667588	0.706858	7.89261	0.0627307	0.0627307
0.706858	0.746128	0.785398	8.18386	0.0638779	0.0638779
0.785398	0.824668	0.863938	8.62059	0.0655601	0.0655601
0.863938	0.903208	0.942478	8.97656	0.0668999	0.0668999
0.942478	0.981748	1.02102	9.41836	0.0685266	0.0685266
1.02102	1.06029	1.09956	9.89548	0.0702408	0.0702408
1.09956	1.13883	1.1781	10.3353	0.0717847	0.0717847
1.1781	1.21737	1.25664	10.8508	0.0735532	0.0735532
1.25664	1.29591	1.33518	11.2975	0.075052	0.075052
1.33518	1.37445	1.41372	11.9188	0.077088	0.077088
1.41372	1.45299	1.49226	12.4772	0.0788733	0.0788733
1.49226	1.53153	1.5708	13.0725	0.0807329	0.0807329
1.5708	1.61007	1.64934	13.8912	0.0832224	0.0832224
1.64934	1.68861	1.72788	14.7781	0.0858379	0.0858379
1.72788	1.76715	1.80642	15.6776	0.0884118	0.0884118
1.80642	1.84569	1.88496	16.6493	0.0911106	0.0911106
1.88496	1.92423	1.9635	18.1167	0.095041	0.095041
1.9635	2.00277	2.04204	19.7141	0.0991423	0.0991423
2.04204	2.08131	2.12058	21.1386	0.102662	0.102662
2.12058	2.15984	2.19911	23.4276	0.108077	0.108077
2.19911	2.23838	2.27765	25.7151	0.113231	0.113231
2.27765	2.31692	2.35619	28.6694	0.119558	0.119558
2.35619	2.39546	2.43473	32.4291	0.127156	0.127156
2.43473	2.474	2.51327	37.099	0.136004	0.136004
2.51327	2.55254	2.59181	42.6552	0.145834	0.145834
2.59181	2.63108	2.67035	50.3608	0.158459	0.158459
2.67035	2.70962	2.74889	59.9543	0.172895	0.172895
2.74889	2.78816	2.82743	74.0643	0.192166	0.192166
2.82743	2.8667	2.90597	94.1184	0.216625	0.216625
2.90597	2.94524	2.98451	125.259	0.249905	0.249905
2.98451	3.02378	3.06305	177.656	0.297619	0.297619
3.06305	3.10232	3.14159	282.148	0.375068	0.375068
# END HISTOGRAM

# BEGIN HISTOSTATS /MC_FBA_TTBAR/dphittbar.all
AidaPath=/MC_FBA_TTBAR/dphittbar.all
0	0.0392699081698724	0.0785398163397448	7781	0.304696131576616	1.19315954723754e-05	0.0121378197536075	0.000640758972529651
0.0785398163397448	0.117809724509617	0.15707963267949	8621	0.337590744162113	1.32197560685206e-05	0.040025422724699	0.00492184478241778
0.15707963267949	0.196349540849362	0.235619449019234	9877	0.386772111677685	1.51455600137049e-05	0.0762344591363743	0.015225358171284
0.235619449019234	0.274889357189107	0.314159265358979	10986	0.430201423657378	1.68462845021031e-05	0.118458099664547	0.0328385464892807
0.314159265358979	0.353429173528852	0.392699081698724	11978	0.46904649752803	1.83673938911253e-05	0.166086276020667	0.0590523351225696
0.392699081698724	0.431968989868597	0.471238898038469	13091	0.512628966828665	2.00739826707629e-05	0.221655611124527	0.0961043041531744
0.471238898038469	0.510508806208341	0.549778714378214	14039	0.549752774903934	2.15277552529333e-05	0.280919677738567	0.143827739380242
0.549778714378214	0.589048622548086	0.628318530717959	15025	0.588365503131386	2.30398660905806e-05	0.346737336975336	0.204641977322566
0.628318530717959	0.667588438887831	0.706858347057703	15830	0.619884323780883	2.42739519066681e-05	0.413926256137869	0.276714055394963
0.706858347057703	0.746128255227576	0.785398163397448	16414	0.642758526123228	2.51698876156869e-05	0.480042716197903	0.35884744277021
0.785398163397448	0.824668071567321	0.863937979737193	17290	0.6770593909896	2.65129827211532e-05	0.558394261748663	0.460875129706681
0.863937979737193	0.903207887907066	0.942477796076938	18004	0.705017332508574	2.76077272190869e-05	0.636754865814851	0.575464227984466
0.942477796076938	0.98174770424681	1.02101761241668	18890	0.739715878760761	2.89666283682398e-05	0.726523588332119	0.713949005145856
1.02101761241668	1.06028752058656	1.09955742875643	19847	0.777189510131724	3.043399983473e-05	0.824253132860859	0.874570243486278
1.09955742875643	1.1388273369263	1.17809724509617	20729	0.811728809852132	3.17865650921072e-05	0.92453862009795	1.05344757924496
1.17809724509617	1.21736715326604	1.25663706143592	21763	0.852217700970433	3.33720117708562e-05	1.03770179636814	1.26399044003646
1.25663706143592	1.29590696960579	1.33517687777566	22659	0.887304359848549	3.47459778771388e-05	1.15014287222206	1.49129745452164
1.33517687777566	1.37444678594553	1.41371669411541	23905	0.93609674485093	3.66566494936882e-05	1.28695676080307	1.76980243119187
1.41371669411541	1.45298660228528	1.49225651045515	25025	0.9799568082231	3.83742418695519e-05	1.4243397194971	2.07074133356374
1.49225651045515	1.53152641862502	1.5707963267949	26219	1.02671117414107	4.02050396387085e-05	1.57278691571196	2.40983076021424
1.5707963267949	1.61006623496477	1.64933614313464	27861	1.09100886949809	4.27228204610064e-05	1.75726282370769	2.83094264158725
1.64933614313464	1.68860605130451	1.72787595947439	29640	1.16066789810327	4.54504136684452e-05	1.96062281361084	3.3125153550913
